lead_id,full_name,email,creation_date
L-1001,John Smith,john.smith@example.com,2024-09-15
L-1002,Jane DOE,jane.doe@other.com,2024-09-16
L-1003,alice johnson,alice.johnson@corp.com,2024-09-17
L-1004,Bob Brown,bob.brown@test.net,2024-09-18
L-1005,John Smith,john.smith@example.com,2024-09-19
L-1006,SALLY WILLIAMS,sally.williams@global.org,2024-09-20
L-1007,Mike Davis,mike.davis@corp.com,2024-09-21
L-1008,Alice Johnson,alice.johnson@corp.com,2024-09-22
L-1009,Frank White,frank.white@partner.io,2024-09-23
L-1010,elena rodriguez,elena.rodriguez@int.com,2024-09-24
